Designator,Mid X,Mid Y,Rotation,Layer
C1,172.3136,-80.0354,270,T
C2,174.0662,-80.0608,270,T
C3,165.227,-77.5716,0,T
C4,165.227,-74.295,180,T
C5,171.831,-70.8152,270,T
C6,165.227,-75.930125,180,T
C7,170.1292,-70.8152,270,T
C8,173.8249,-44.3992,0,T
C9,168.8846,-40.6019,180,T
C10,165.5318,-43.3451,90,T
C13,166.497,-53.0606,0,T
C14,162.6362,-50.8762,270,T
C15,178.1556,-51.8414,0,T
C16,167.132,-63.627,90,T
C17,165.0746,-64.4398,90,T
C18,170.815,-56.7182,180,T
D1,66.675,-41.275,90,T
D2,66.675,-60.325,90,T
D3,66.675,-79.375,90,T
D4,85.725,-41.275,90,T
D5,85.725,-60.325,90,T
D6,85.725,-79.375,90,T
D7,104.6734,-38.89375,90,T
D8,104.775,-57.94375,90,T
D9,104.775,-77.18425,90,T
D10,123.825,-36.5125,90,T
D11,123.825,-55.5625,90,T
D12,123.825,-74.803,90,T
D13,133.35,-98.425,90,T
D14,142.875,-38.89375,90,T
D15,142.875,-57.94375,90,T
D16,142.875,-77.18425,90,T
D17,154.78125,-102.39375,75,T
D18,161.925,-41.275,90,T
D19,161.8234,-60.579,90,T
D20,161.925,-79.5655,90,T
D21,176.2125,-107.15625,60,T
J1,166.751,-31.0571,180,T
L2,173.0375,-41.9862,270,T
L3,164.1856,-50.8762,270,T
L4,166.9647,-50.7619,0,T
L5,170.4848,-59.4614,0,T
R1,178.1556,-53.4924,0,T
R2,169.052875,-81.810225,180,T
R3,182.3466,-49.3014,90,T
R4,180.5686,-49.3014,90,T
R5,166.497,-54.8894,0,T
R6,166.497,-58.6232,180,T
R9,181.356,-51.8414,0,T
R10,170.1292,-67.6148,90,T
R11,171.831,-67.6148,270,T
R12,174.469425,-66.71945,90,T
R13,174.469425,-63.51905,90,T
R14,174.482125,-60.31865,90,T
SW1,183.814,-73.849,270,T
U2,169.586501,-75.288924,90,T
U3,172.843825,-48.9712,90,T
U4,170.919126,-63.493649,90,T
Y1,168.5544,-43.2689,0,T